sample_id,stratum,cls2012,cls2021,x,y,z,dist,u,v,row,col,m_per_px_horiz,m2_per_px,imgcls2012_centre,imgcls2021_centre,imgfrac_sasa_2012,imgfrac_sasa_2021,imgfrac_pine_2012,imgfrac_pine_2021,gcc_2012,gcc_2021,texture_2012,texture_2021,align_dx_px,align_dy_px,align_shift_px,figure,native_crop
loss_to_dwarfpine_01,loss_to_dwarfpine,1,7,733292.5,4051032.75,2438.010009765625,577.2899015577544,3317.8999734107197,2005.9742300826915,1036,548,0.15047805547222912,nan,7,7,0.06714022266238645,0.0733556451062086,0.5727750836691483,0.5466839696742026,0.38872256875038147,0.3882240951061249,0.13522736728191376,0.11549323052167892,0.0,-1.0,1.0,crops/loss_to_dwarfpine_01.png,crops_native/loss_to_dwarfpine_01_native.png
loss_to_dwarfpine_02,loss_to_dwarfpine,1,7,733240.5,4051220.75,2388.840087890625,512.2445230085493,2028.328437478761,2406.946604630993,848,496,0.1335231389647208,nan,6,2,0.04842565398538351,0.040024588484393143,0.035243494296837645,0.07800013660269108,0.4008381962776184,0.3934071958065033,0.24549444019794464,0.16562184691429138,-1.0,0.0,1.0,crops/loss_to_dwarfpine_02.png,crops_native/loss_to_dwarfpine_02_native.png
loss_to_dwarfpine_03,loss_to_dwarfpine,1,7,733276.5,4051191.75,2403.52001953125,544.7331680729466,2253.616757971754,2264.273834252796,877,532,0.14199172315617462,0.1875,2,2,0.09008947476265282,0.047401133802335904,0.2261457550713749,0.1932245065227785,0.3967243432998657,0.39615756273269653,0.07190146297216415,0.07810740917921066,-1.0,0.0,1.0,crops/loss_to_dwarfpine_03.png,crops_native/loss_to_dwarfpine_03_native.png
loss_to_dwarfpine_04,loss_to_dwarfpine,1,7,733438.5,4050905.75,2522.60009765625,757.9874235481434,3756.069159479185,1536.3724184489554,1163,694,0.19757919419714373,0.1875,7,7,0.01584591216446964,0.025749607267263164,0.11570247933884298,0.10552557885390342,0.3822949230670929,0.3906787931919098,0.2901184856891632,0.264539510011673,0.0,0.0,0.0,crops/loss_to_dwarfpine_04.png,crops_native/loss_to_dwarfpine_04_native.png
loss_to_dwarfpine_05,loss_to_dwarfpine,1,7,733342.5,4051159.75,2423.22998046875,609.1525327030979,2462.682505751103,2094.834515973447,909,598,0.15878346106488264,0.375,1,1,0.12546957175056347,0.1363294856908681,0.19588825899870227,0.2386449013045557,0.40072691440582275,0.39552828669548035,0.10646173357963562,0.07538611441850662,-1.0,0.0,1.0,crops/loss_to_dwarfpine_05.png,crops_native/loss_to_dwarfpine_05_native.png
loss_to_dwarfpine_06,loss_to_dwarfpine,1,7,733423.5,4051164.75,2471.18994140625,689.0038895313944,2418.05391195517,1801.9711483411888,904,679,0.17959774669488865,nan,7,7,0.10661840038248753,0.10197390888600505,0.2647360152995014,0.23140495867768596,0.3864562213420868,0.3856336772441864,0.27077165246009827,0.19609472155570984,0.0,0.0,0.0,crops/loss_to_dwarfpine_06.png,crops_native/loss_to_dwarfpine_06_native.png
loss_to_dwarfpine_07,loss_to_dwarfpine,1,7,733480.5,4051164.75,2493.510009765625,746.6677837226692,2411.049183800072,1692.353577004418,904,736,0.19462858413972364,0.25,1,1,0.042278532887097875,0.040024588484393143,0.042551738269243904,0.01700703503859026,0.38846421241760254,0.3868330121040344,0.15690642595291138,0.15954354405403137,-1.0,1.0,1.4142135623730951,crops/loss_to_dwarfpine_07.png,crops_native/loss_to_dwarfpine_07_native.png
loss_to_dwarfpine_08,loss_to_dwarfpine,1,7,733404.5,4051196.75,2460.1298828125,669.9356488699021,2237.321952133851,1864.0779936689764,872,660,0.1746273639317826,0.0625,1,1,0.35912847483095417,0.371491018373062,0.09070418687248138,0.08148350522505293,0.3978064954280853,0.38932114839553833,0.05073320120573044,0.07173553854227066,-1.0,0.0,1.0,crops/loss_to_dwarfpine_08.png,crops_native/loss_to_dwarfpine_08_native.png
loss_to_dwarfpine_09,loss_to_dwarfpine,1,7,733656.5,4051262.75,2561.070068359375,930.9826869299462,1985.3889324687354,1442.7670786249555,806,912,0.24267263991541335,1.4375,7,7,0.0004781094187555495,0.0,0.15306331534731235,0.14657468752134417,0.3735034167766571,0.37314435839653015,0.16396431624889374,0.12714865803718567,0.0,0.0,0.0,crops/loss_to_dwarfpine_09.png,crops_native/loss_to_dwarfpine_09_native.png
loss_to_dwarfpine_10,loss_to_dwarfpine,1,7,733263.5,4051249.75,2412.530029296875,535.3464172737133,1826.3508298711013,2213.580500531109,819,519,0.13954494554295196,0.125,7,7,0.009698791066184004,0.009903695102793524,0.5623932791475992,0.4792022402841336,0.38376227021217346,0.39440950751304626,0.15019313991069794,0.1272161304950714,-1.0,-1.0,1.4142135623730951,crops/loss_to_dwarfpine_10.png,crops_native/loss_to_dwarfpine_10_native.png
loss_to_dwarfpine_11,loss_to_dwarfpine,1,7,733489.5,4051015.75,2524.409912109375,775.1646659499039,3147.847852321125,1543.2397314289983,1053,745,0.20205666388441393,0.125,1,2,0.033809166040571,0.02096851307970767,0.569633221774469,0.5917628577282973,0.38219645619392395,0.3773208260536194,0.08051583915948868,0.08099871128797531,0.0,0.0,0.0,crops/loss_to_dwarfpine_11.png,crops_native/loss_to_dwarfpine_11_native.png
loss_to_dwarfpine_12,loss_to_dwarfpine,1,7,733397.5,4050865.75,2509.090087890625,735.2223879567513,4042.1706156526398,1593.1331523467056,1203,653,0.19164519417513562,nan,2,2,0.02568130592172666,0.03435557680486306,0.1004712792842019,0.10709650980124308,0.371507853269577,0.38851508498191833,0.042741671204566956,0.0423470214009285,-1.0,0.0,1.0,crops/loss_to_dwarfpine_12.png,crops_native/loss_to_dwarfpine_12_native.png
loss_to_dwarfpine_13,loss_to_dwarfpine,1,7,733429.5,4050902.75,2518.169921875,750.3829541912514,3788.298668616376,1555.6575894551297,1166,685,0.1955969912196874,nan,2,2,0.014957994672495048,0.027662044942285365,0.11187760398879858,0.11092138515128748,0.3771634101867676,0.38664913177490234,0.10229682922363281,0.10724521428346634,0.0,0.0,0.0,crops/loss_to_dwarfpine_13.png,crops_native/loss_to_dwarfpine_13_native.png
loss_to_dwarfpine_14,loss_to_dwarfpine,1,7,733090.5,4051075.75,2420.949951171875,372.74088752850815,3422.7648907026814,2261.6880534385423,993,346,0.09715971784528325,0.125,2,2,0.0318967283655488,0.07287753568745305,0.17218769209753432,0.14370603100881088,0.3756251335144043,0.38693198561668396,0.057305917143821716,0.06583236157894135,0.0,0.0,0.0,crops/loss_to_dwarfpine_14.png,crops_native/loss_to_dwarfpine_14_native.png
loss_to_dwarfpine_15,loss_to_dwarfpine,1,7,733487.5,4051042.75,2518.929931640625,767.4844465696655,3018.8964813938755,1568.4808175640399,1026,743,0.20005471568677552,0.3125,7,7,0.030667304145891673,0.023017553445802884,0.5195683354962093,0.5067959838808824,0.36987677216529846,0.38054296374320984,0.2388869822025299,0.20121821761131287,-1.0,1.0,1.4142135623730951,crops/loss_to_dwarfpine_15.png,crops_native/loss_to_dwarfpine_15_native.png
loss_to_dwarfpine_16,loss_to_dwarfpine,1,7,733322.5,4051328.75,2426.280029296875,607.1212961565024,1350.6940784421256,2092.093890002106,740,578,0.15825399307157278,0.125,5,4,0.06229082712929445,0.0260911139949457,0.16645037907246774,0.14520866061061402,0.3961590528488159,0.39633673429489136,0.18928262591362,0.12518401443958282,-1.0,0.0,1.0,crops/loss_to_dwarfpine_16.png,crops_native/loss_to_dwarfpine_16_native.png
loss_to_dwarfpine_17,loss_to_dwarfpine,1,7,733380.5,4050993.75,2484.989990234375,672.59372746804,3403.599872898822,1717.332498623277,1075,636,0.1753202263873025,0.1875,2,2,0.04159551943173281,0.06898435899187214,0.1583225189536234,0.159483641827744,0.38585102558135986,0.38679301738739014,0.06729281693696976,0.06593477725982666,-1.0,0.0,1.0,crops/loss_to_dwarfpine_17.png,crops_native/loss_to_dwarfpine_17_native.png
loss_to_dwarfpine_18,loss_to_dwarfpine,1,7,733364.5,4050907.75,2490.219970703125,686.8289930145392,3902.273402485567,1685.5611923653585,1161,620,0.1790308318782141,nan,5,2,0.008605969537599891,0.0014343282562666484,0.19534184823441023,0.18297930469230245,0.3889797329902649,0.39841219782829285,0.17138028144836426,0.1903100311756134,-1.0,0.0,1.0,crops/loss_to_dwarfpine_18.png,crops_native/loss_to_dwarfpine_18_native.png
loss_to_dwarfpine_19,loss_to_dwarfpine,1,7,733313.5,4051339.75,2419.7099609375,601.6364145955108,1261.0254534851238,2140.5280861035144,729,569,0.15682428797961404,nan,7,5,0.05354825490062154,0.02568130592172666,0.24820708967966668,0.23809849054026364,0.3958545923233032,0.39334577322006226,0.12509146332740784,0.15275970101356506,0.0,0.0,0.0,crops/loss_to_dwarfpine_19.png,crops_native/loss_to_dwarfpine_19_native.png
loss_to_dwarfpine_20,loss_to_dwarfpine,1,7,733414.5,4051337.75,2453.81005859375,697.7743816265663,1431.2174056924628,1903.6554692483346,731,670,0.18188388853186654,nan,2,2,0.015436104091250598,0.010586708558158596,0.06256403251144048,0.08182501195273546,0.38333699107170105,0.377856582403183,0.30827295780181885,0.19251391291618347,0.0,0.0,0.0,crops/loss_to_dwarfpine_20.png,crops_native/loss_to_dwarfpine_20_native.png
loss_to_dwarfpine_21,loss_to_dwarfpine,1,7,733251.5,4051247.75,2405.429931640625,523.9205676505878,1830.3248190467511,2274.5990836750943,821,507,0.13656665053247877,0.0625,4,4,0.007854654736698313,0.006215422443822143,0.3011406324704597,0.290280718530155,0.40978944301605225,0.39182090759277344,0.1572718471288681,0.15282654762268066,-1.0,-1.0,1.4142135623730951,crops/loss_to_dwarfpine_21.png,crops_native/loss_to_dwarfpine_21_native.png
loss_to_dwarfpine_22,loss_to_dwarfpine,1,7,733067.5,4051031.75,2434.8798828125,365.17081501098176,3949.19439746074,2127.3437920054935,1037,323,0.0951864808474641,0.125,2,2,0.02397377228331398,0.032443139129840856,0.10340823714227171,0.049040366095212076,0.3875175714492798,0.39476278424263,0.0736493393778801,0.07111439853906631,-1.0,0.0,1.0,crops/loss_to_dwarfpine_22.png,crops_native/loss_to_dwarfpine_22_native.png
loss_to_dwarfpine_23,loss_to_dwarfpine,1,7,733106.5,4050963.75,2446.669921875,430.34393428102624,4397.006326917851,1983.1154241026106,1105,362,0.11217469462073901,0.0625,2,2,0.07035038590260229,0.08243972406256403,0.004712792842018988,0.0025954511303872686,0.4028099477291107,0.39616841077804565,0.07804367691278458,0.0720330998301506,-1.0,0.0,1.0,crops/loss_to_dwarfpine_23.png,crops_native/loss_to_dwarfpine_23_native.png
loss_to_dwarfpine_24,loss_to_dwarfpine,1,7,733470.5,4051304.75,2490.489990234375,746.8445512204837,1674.9808413135706,1706.0820391457532,764,726,0.19467466086697982,0.125,2,2,0.001980739020558705,0.0015026296018031556,0.34137012499146235,0.342531247865583,0.38769808411598206,0.38159605860710144,0.13100646436214447,0.10416713356971741,0.0,1.0,1.0,crops/loss_to_dwarfpine_24.png,crops_native/loss_to_dwarfpine_24_native.png
loss_to_dwarfpine_25,loss_to_dwarfpine,1,7,732942.5,4051028.75,2444.669921875,257.5003090541201,4860.665851580855,2111.989229750295,1040,198,0.06712077534251741,nan,1,2,0.25551533365207296,0.13940304624001093,0.029984290690526605,0.004029779386653917,0.37893494963645935,0.39098596572875977,0.23680134117603302,0.20396961271762848,-1.0,0.0,1.0,crops/loss_to_dwarfpine_25.png,crops_native/loss_to_dwarfpine_25_native.png
loss_to_dwarfpine_26,loss_to_dwarfpine,1,7,733292.5,4051364.75,2410.719970703125,589.4902898158605,1043.8842562892062,2215.528270657444,704,548,0.15365824396354355,nan,5,4,0.006625230517041186,0.0012294242196571274,0.32156273478587527,0.24622635065910797,0.3961046636104584,0.39570993185043335,0.16103874146938324,0.1508171409368515,-1.0,0.0,1.0,crops/loss_to_dwarfpine_26.png,crops_native/loss_to_dwarfpine_26_native.png
loss_to_dwarfpine_27,loss_to_dwarfpine,1,7,733069.5,4051043.75,2433.909912109375,362.37351160835334,3818.822029635884,2138.072077096247,1025,325,0.094457327651717,0.0625,7,7,0.11604398606652551,0.14350112697220135,0.5558363499760945,0.5117819821050474,0.3979702293872833,0.3799441158771515,0.13761864602565765,0.2679600715637207,-1.0,0.0,1.0,crops/loss_to_dwarfpine_27.png,crops_native/loss_to_dwarfpine_27_native.png
